metric,pair,mean_diff,std_error,direction,p_adj
PSNR_dB,4-LSB vs LSB,-17.001533399107508,0.6925214993921847,LSB > 4-LSB,1.266571959069193e-21
PSNR_dB,4-LSB vs ML-LSB,-2.129189215771021,2.540797257903766,ML-LSB > 4-LSB,1.0
PSNR_dB,LSB vs ML-LSB,14.872344183336487,2.4915295787490246,LSB > ML-LSB,9.901623179882959e-06
MSE,4-LSB vs LSB,19.938139877319337,2.7809019243120354,4-LSB > LSB,2.4863133296621127e-06
MSE,4-LSB vs ML-LSB,-660.3903756205242,272.7229280135425,ML-LSB > 4-LSB,0.2513013962537055
MSE,LSB vs ML-LSB,-680.3285154978435,272.70875187018123,ML-LSB > LSB,0.21151721747926874
SSIM,4-LSB vs LSB,-0.07213503522611886,0.011463616744604235,LSB > 4-LSB,1.987995981685689e-05
SSIM,4-LSB vs ML-LSB,0.12689222457281968,0.05347748037345565,4-LSB > ML-LSB,0.2751304219088254
SSIM,LSB vs ML-LSB,0.19902725979893854,0.05223608896243488,LSB > ML-LSB,0.0066715454792427124
BPP,4-LSB vs LSB,2.899169921875,0.6869280198622286,4-LSB > LSB,0.003076874917796384
BPP,4-LSB vs ML-LSB,-3.618512834821429,1.3265811965234695,ML-LSB > 4-LSB,0.10382560452206627
BPP,LSB vs ML-LSB,-6.517682756696429,1.155211537004618,ML-LSB > LSB,2.703303648032522e-05
